FishId,FishName,ScientificName,Category,Family,Rarity,MinLength_cm,MaxLength_cm,MinWeight_kg,MaxWeight_kg,HabitatLayer,ActiveTime,PreferredBait,FightPower,BasePrice_Gold,ExpReward,BaseMutationRate,Description
15,麦穗鱼,Pseudorasbora parva,淡水鱼,鲤科 Cyprinidae,1,4.0,10.0,0.002,0.02,底层,全天,3;6;24;30,1,2,2,0.005,体小如麦穗，灰褐色。最普通的小杂鱼，但也是生态链重要一环。钓到它说明窝子里还没来大鱼，耐心等待。
16,棒花鱼,Abbottina rivularis,淡水鱼,鲤科 Cyprinidae,1,5.0,12.0,0.003,0.03,底层,白天,1;3;6;28,1,3,2,0.005,体细长具黑色斑点纵纹，嘴巴尖尖朝下。趴在水底翻砂觅食底层小生物，是水质清洁度的指示生物。
17,花䱻,Hemibarbus maculatus,淡水鱼,鲤科 Cyprinidae,2,12.0,35.0,0.04,1.20,底层,白天,1;2;3;28,3,25,15,0.02,"体延长侧扁，体侧有黑色斑点排成纵行。俗称""花骨鱼""，肉质鲜美少刺。咬口轻微需要敏锐的浮漂调校。"
18,唇䱻,Hemibarbus labeo,淡水鱼,鲤科 Cyprinidae,3,15.0,45.0,0.08,2.00,底层,夜间,2;7;28,4,35,20,0.03,唇部肥厚突出是其最显著特征。比花䱻更大更凶猛，夜间觅食活跃。嘴硬难刺穿，需要锋利大钩。
19,赤眼鳟,Squaliobarbus curriculus,淡水鱼,鲤科 Cyprinidae,3,18.0,50.0,0.15,3.00,中上层,白天,4;5;9;11;13,5,45,25,0.03,眼上缘有一块红斑极为醒目，体延长梭形。介于鲤科和凶猛鱼之间的半路亚对象鱼，有时追小鱼有时吃素。
20,马口鱼,Opsariichthys bidens,淡水鱼,鲤科 Cyprinidae,3,10.0,30.0,0.02,0.50,中上层,白天,4;5;9;11;13,5,40,22,0.03,口裂极大几乎达眼后，体侧有蓝绿条纹。小型凶猛路亚目标，雄鱼繁殖期婚姻色极为艳丽，是溪流钓的颜值担当。
21,宽鳍鱲,Zacco platypus,淡水鱼,鲤科 Cyprinidae,2,8.0,22.0,0.01,0.20,中上层,白天,3;4;5;11,3,20,12,0.02,体侧有多条蓝色横纹，鳍宽大。溪流小型路亚鱼种，群居活动。与马口鱼共享栖息地，但体型更小色彩更绚烂。
22,泥鳅,Misgurnus anguillicaudatus,淡水鱼,鳅科 Cobitidae,1,8.0,25.0,0.005,0.15,底层,夜间,1;2;3;6;10;28,1,10,6,0.01,体细长如小蛇，口周有触须5对。能在低氧环境用肠道呼吸空气。滑不溜丢，徒手根本抓不住。
23,大鳞副泥鳅,Paramisgurnus dabryanus,淡水鱼,鳅科 Cobitidae,2,10.0,30.0,0.01,0.25,底层,夜间,1;2;3;10,2,15,10,0.01,鳞片比普通泥鳅大，体型也更粗壮。习性与泥鳅相似但生长更快。冬季钻入泥中冬眠，春天才重新活跃。
24,锦鲤,Cyprinus rubrofuscus,淡水鱼,鲤科 Cyprinidae,5,15.0,90.0,0.10,20.0,中下层,白天,4;23;26;27;29,5,150,80,0.08,人工选育的观赏鲤，色彩斑斓有红白金黑等色斑。价值连城的活宝石，在野外偶遇逃逸个体如同中彩票。
25,金鱼,Carassius auratus var.,淡水鱼,鲤科 Cyprinidae,3,5.0,25.0,0.005,0.50,全层,白天,3;4;24;25;29,1,30,15,0.05,中国千年人工选育的观赏鱼，品种繁多形态各异。野生型呈金黄色，在开阔水域中极为显眼也极为脆弱。
26,胭脂鱼,Myxocyprinus asiaticus,淡水鱼,亚口鱼科 Catostomidae,6,15.0,80.0,0.08,8.00,底层,白天,1;2;10;26,5,200,100,0.07,幼鱼体侧有三条黑色斜纹如斑马，成年变为通体胭脂红。长江上游特有珍稀鱼种，国家二级保护动物，能钓到是毕生荣耀。
27,欧亚丁鱥,Tinca tinca,淡水鱼,鲤科 Cyprinidae,4,15.0,50.0,0.10,3.00,底层,夜间,1;2;7;27,5,60,35,0.04,体粗壮橄榄绿色，鳞片细小被厚黏液覆盖。欧洲传统医鱼，据说其黏液能治愈其他鱼的伤口。夜行性，白天藏在泥中。
28,鲶鱼,Silurus asotus,淡水鱼,鲶科 Siluridae,3,25.0,80.0,0.20,7.00,底层,夜间,2;7;9;34,6,55,30,0.04,体延长无鳞，大口宽扁有须两对。无鳞滑腻的夜间掠食者，嗅觉极其敏锐。白天藏身石缝树根下，夜间出击吞食一切能入口的活物。
29,大口鲶,Silurus meridionalis,淡水鱼,鲶科 Siluridae,5,40.0,150.0,1.00,50.0,底层,夜间,2;7;9;34,8,180,95,0.06,南方巨型鲶鱼，口裂极大能吞下自身一半大的猎物。长江流域顶级掠食者，曾有人钓获重达60公斤的个体，是淡水怪兽的代名词。
30,胡子鲶,Clarias fuscus,淡水鱼,胡子鲶科 Clariidae,2,15.0,40.0,0.05,1.20,底层,夜间,1;2;6;7;24,4,25,15,0.03,"体延长灰褐色，口周有8条触须。俗称""塘鲺""，耐污能力极强。能在潮湿地面爬行迁移水域，生命力惊人。"
31,革胡子鲶,Clarias gariepinus,淡水鱼,胡子鲶科 Clariidae,3,20.0,60.0,0.15,3.50,底层,夜间,2;7;9;34,5,35,20,0.03,来自非洲的引入种，生长速度极快。比本土胡子鲶更大更凶猛，几乎什么都吃。入侵物种，在南方水域已形成自然种群。
32,黄颡鱼,Pelteobagrus fulvidraco,淡水鱼,鲿科 Bagridae,2,10.0,30.0,0.02,0.50,底层,夜间,1;2;3;7;10;28,3,20,10,0.02,"体黄色具褐色斑块，胸鳍和背鳍有毒刺。俗称""黄辣丁""或""昂刺鱼""，被扎到剧痛难忍。肉质极其鲜嫩，是高端淡水食用鱼。"
33,长吻鮠,Leiocassis longirostris,淡水鱼,鲿科 Bagridae,4,20.0,60.0,0.15,3.00,底层,夜间,2;7;10;28,4,80,45,0.04,"吻部极为突出如猪鼻，通体粉红。俗称""江团""，长江名贵鱼种。肉质肥美无细刺，苏轼曾赞其""粉红石首仍无骨""。"
34,斑鳠,Mystus guttatus,淡水鱼,鲿科 Bagridae,4,15.0,50.0,0.10,3.00,底层,夜间,2;7;9;10,5,70,40,0.04,"体灰褐散布黑色圆斑，脂鳍发达。南方山溪急流中的精灵，俗称""芝麻剑""。肉质紧实弹牙，被视为淡水极品。"
35,大鳍鳠,Mystus macropterus,淡水鱼,鲿科 Bagridae,3,12.0,35.0,0.04,1.50,底层,夜间,2;7;9;10,4,40,22,0.03,鳍条极为宽大如扇，游泳能力出众。与斑鳠共享栖息地，生性更为凶猛。遭遇时会有猛烈咬口和持续冲刺。
36,斑点叉尾鮰,Ictalurus punctatus,淡水鱼,鮰科 Ictaluridae,3,20.0,70.0,0.15,6.00,底层,夜间,2;7;9;34,5,50,28,0.03,原产北美，尾部深叉形，体散布黑色斑点。引进后成为重要养殖和游钓鱼种。嗅觉极度发达，夜间用腥饵钓效果最佳。
37,蓝鲶鱼,Ictalurus furcatus,淡水鱼,鮰科 Ictaluridae,5,30.0,120.0,0.50,30.0,底层,夜间,2;7;9;34,8,150,85,0.06,北美最大淡水鲶鱼之一，体蓝灰色。密西西比河的河中巨怪，顶级掠食者。钓获百斤级蓝鲶是北美钓鱼人的毕生梦想。
38,欧鲶,Silurus glanis,淡水鱼,鲶科 Siluridae,7,50.0,250.0,2.00,150.0,底层,夜间,2;7;9;34,10,500,250,0.08,世界最大淡水鲶鱼，欧洲河中巨兽。曾有人目击其捕食鸽子甚至小型犬。多瑙河流域传说级鱼种，能钓上一条便是终身成就。
39,鳜鱼,Siniperca chuatsi,淡水鱼,真鲈科 Percichthyidae,4,15.0,50.0,0.10,3.50,中下层,晨昏,5;7;8;9;13;16;17,6,100,55,0.05,体侧扁黄绿色有黑色斑块，口大无比。伏击型掠食者，伪装在岩石间突然暴起吞食。肉质蒜瓣状鲜美绝伦，是中国最名贵淡水食用鱼。
40,大眼鳜,Siniperca kneri,淡水鱼,真鲈科 Percichthyidae,3,12.0,35.0,0.05,1.20,中下层,晨昏,5;9;13;16;17,5,60,35,0.04,眼睛比例极大，体色较鳜鱼更深。习性相似但体型较小，栖息于更高海拔的清澈溪流。山路越崎岖它越活跃。
41,斑鳜,Siniperca scherzeri,淡水鱼,真鲈科 Percichthyidae,4,12.0,40.0,0.05,2.00,中下层,晨昏,5;9;13;16;17,5,75,42,0.05,体侧有密集黑色小斑，如星空般美丽。东北冷水溪流中的珍宝。生性比普通鳜鱼更暴烈，攻击饵料的决心极强。
42,大口黑鲈,Micropterus salmoides,淡水鱼,日鲈科 Centrarchidae,3,18.0,60.0,0.15,5.00,中上层,晨昏,5;8;9;11;13;14;16;17,7,65,35,0.04,原产北美，现为全球最热门路亚鱼种。嘴大能吞下自身体长一半的猎物。水面炸水咬饵是路亚最刺激的瞬间。
43,小口黑鲈,Micropterus dolomieu,淡水鱼,日鲈科 Centrarchidae,4,15.0,45.0,0.08,2.50,中层,白天,5;8;9;11;13;16;17,8,75,42,0.04,与大嘴鲈相比嘴更小体更苗条。中钩后疯狂跳跃洗鳃，搏鱼体验无与伦比。喜欢冷水激流，战斗力同级碾压。
44,黑鱼,Channa argus,淡水鱼,鳢科 Channidae,4,25.0,80.0,0.30,8.00,中上层,白天,5;7;9;14;16;34,8,90,50,0.05,"体延长墨绿色有黑斑，头顶具特殊呼吸器官可直接呼吸空气。又名""乌鳢""，离水数小时不死。护崽期极度凶猛，攻击一切靠近鱼苗的物体。"
45,线鳢,Channa striata,淡水鱼,鳢科 Channidae,5,20.0,70.0,0.20,6.00,中上层,白天,5;7;9;14;16;34,7,85,48,0.05,体侧有纵向条纹，东南亚常见大型鳢鱼。同样具备空气呼吸能力，能在干旱季节钻入泥中夏眠。泰国人视其为勇气的象征。
46,尼罗罗非鱼,Oreochromis niloticus,淡水鱼,丽鱼科 Cichlidae,1,12.0,40.0,0.04,1.80,中下层,白天,1;3;4;6;23;24;26;30,3,20,10,0.02,原产非洲，全球最广泛养殖的食用鱼之一。适应力极强，什么环境都能活。口孵繁殖，幼鱼遇危险会躲进妈妈嘴里。
47,莫桑比克罗非鱼,Oreochromis mossambicus,淡水鱼,丽鱼科 Cichlidae,1,10.0,35.0,0.03,1.20,中下层,白天,1;3;4;6;23;24;26,3,15,8,0.02,比尼罗罗非鱼体型稍小颜色更深。南方水域已形成野生种群。繁殖力惊人，一年可产卵多次，是入侵物种的典型代表。
48,河鲈,Perca fluviatilis,淡水鱼,鲈科 Percidae,3,12.0,40.0,0.04,1.80,中下层,白天,1;3;7;8;9;11;13;16,4,35,20,0.03,体侧有5-7条黑色横纹，腹鳍臀鳍橙红。欧亚大陆广布种，群居掠食鱼。肉质白嫩少刺，欧洲最受欢迎的食用淡水鱼之一。
49,梭鲈,Sander lucioperca,淡水鱼,鲈科 Percidae,5,25.0,100.0,0.30,15.0,中层,晨昏,7;8;9;11;13;20,7,120,65,0.05,体延长似梭，口中有突出的犬齿。欧洲最大淡水鲈，眼神锐利极具压迫感。肉食性，视力极好在暗光中有优势，黄昏是钓它的黄金时间。
50,黄金鲈,Perca flavescens,淡水鱼,鲈科 Percidae,2,10.0,30.0,0.02,0.50,中下层,白天,1;2;3;9;11;13,3,25,12,0.02,北美版河鲈，通体金黄。冰钓最热门的目标鱼种，冬季集群活动。身材小但拉力不小，是北美儿童的第一条鱼。
51,白斑狗鱼,Esox lucius,淡水鱼,狗鱼科 Esocidae,6,30.0,130.0,0.50,30.0,中上层,白天,7;9;11;13;14;15;34,9,250,130,0.07,"体延长如梭，吻部像鸭嘴布满利齿。北半球冷水顶级掠食者，伏击大师。曾有人被大狗鱼咬伤手指，名副其实的""淡水狼""。"
52,北美狗鱼,Esox masquinongy,淡水鱼,狗鱼科 Esocidae,8,40.0,180.0,1.00,50.0,中上层,白天,7;9;13;14;15;34,10,450,240,0.09,"狗鱼之王，体型比白斑狗鱼大一圈。北美千湖之地的传说级目标，钓上一条够吹一辈子。极其罕见，被称""千投之鱼""。"
53,红点鲑,Salvelinus alpinus,淡水鱼,鲑科 Salmonidae,5,15.0,60.0,0.06,3.50,中层,白天,9;11;13;16;19;20,6,100,55,0.06,体红腹白边，冷水北极圈代表鱼种。最北能到北纬82度的淡水鱼。肉质橙红如三文鱼，是北极圈原住民的重要食物来源。
54,虹鳟,Oncorhynchus mykiss,淡水鱼,鲑科 Salmonidae,3,15.0,60.0,0.06,3.50,中上层,白天,4;5;9;11;13;16;19,7,55,30,0.04,体侧有特征性粉红虹彩条纹。原产北美，全球养殖最广的冷水鱼。中钩后疯狂跳跃洗鳃，是飞钓运动的核心目标鱼种。
55,褐鳟,Salmo trutta,淡水鱼,鲑科 Salmonidae,5,20.0,80.0,0.15,7.00,中层,晨昏,7;9;11;13;16;19,7,120,65,0.06,体金黄褐带红黑斑点，欧洲本土鳟鱼之王。极度警觉狡猾，稍有风吹草动便消失无踪。需要最精细的钓法和最隐蔽的接近。
56,美洲红点鲑,Salvelinus fontinalis,淡水鱼,鲑科 Salmonidae,4,12.0,45.0,0.04,2.00,中层,白天,9;11;13;16;19,5,70,38,0.05,体墨绿带黄点和红色腹鳍白边。北美东部原生鳟鱼，对水质要求极高。背上的虫纹斑点如雪花般美丽，是冷水溪流的宝石。
57,湖鳟,Salvelinus namaycush,淡水鱼,鲑科 Salmonidae,6,25.0,100.0,0.30,18.0,深层,白天,9;11;13;18;20,8,200,105,0.06,体型最大的鳟鱼，体深灰有白色斑点。北美五大湖深层巨物，只生活在最深最冷的水域。需要重型装备和极大耐心才能钓获。
58,白鲑,Coregonus lavaretus,淡水鱼,鲑科 Salmonidae,3,15.0,40.0,0.05,1.00,中层,白天,3;4;9;16;19,3,30,18,0.03,体银白侧扁，肉质细嫩。欧亚大陆北部冷水湖泊常见种。群居滤食性，嘴巴小需要小钩细线精细作钓。
59,鲟鱼,Acipenser sinensis,淡水鱼,鲟科 Acipenseridae,9,60.0,300.0,5.00,300.0,底层,全天,2;7;10;18;34,10,800,500,0.10,中华鲟，从白垩纪走来的活化石。体型如潜水艇，身上有五列骨质硬鳞。国家一级保护动物，极度濒危，钓获是毕生荣幸（游戏内允许）。
60,匙吻鲟,Polyodon spathula,淡水鱼,匙吻鲟科 Polyodontidae,7,40.0,180.0,2.00,40.0,中上层,白天,10;23;25;26;29,6,350,180,0.08,吻部延长呈桨状，长相极尽奇特。北美密西西比河流域特有滤食性大鱼。张着大嘴巡游滤食浮游生物，完全无害的巨大萌物。
61,俄罗斯鲟,Acipenser gueldenstaedtii,淡水鱼,鲟科 Acipenseridae,7,40.0,200.0,2.50,80.0,底层,全天,2;7;10;18;34,8,380,200,0.08,黑海和里海流域的珍贵鲟鱼。鱼子酱的来源之一。体型介于中华鲟和西伯利亚鲟之间，力量持久如坦克。
62,西伯利亚鲟,Acipenser baerii,淡水鱼,鲟科 Acipenseridae,6,35.0,180.0,1.50,60.0,底层,全天,2;7;10;18;34,7,280,150,0.07,适应力最强的鲟鱼，能在低温下生长。现已成为全球养殖鱼子酱的主力品种。冰钓时钓获西伯利亚鲟是一生难忘的体验。
63,白鲟,Psephurus gladius,淡水鱼,匙吻鲟科 Polyodontidae,10,80.0,400.0,15.0,500.0,中上层,全天,10;34;35,9,1500,1000,0.15,长江白鲟，剑吻如长矛。世界上最大的淡水鱼之一，据称可达7米长。2022年被宣布野外灭绝，传说级鱼种，游戏中的终极追求。
64,欧洲鳗鲡,Anguilla anguilla,洄游鱼,鳗鲡科 Anguillidae,4,20.0,80.0,0.10,3.00,底层,夜间,1;2;3;7;10;18,6,80,40,0.05,体细长如蛇，降海洄游产卵。一生只在马尾藻海繁殖一次后死去。身披神秘面纱的鱼类，古罗马人视为美味珍馐。
65,日本鳗鲡,Anguilla japonica,洄游鱼,鳗鲡科 Anguillidae,5,20.0,80.0,0.10,3.00,底层,夜间,1;2;3;7;10;18,6,120,60,0.05,与欧洲鳗相似但产卵地在太平洋。日式蒲烧鳗鱼的主角。生长缓慢，近年因过度捕捞数量锐减，价格飞涨。
66,鲥鱼,Tenualosa reevesii,洄游鱼,鲱科 Clupeidae,7,20.0,50.0,0.15,2.00,中层,白天,8;9;11;20,5,300,160,0.08,"体侧扁银光闪闪，鳞片细密。每年溯江产卵的洄游名鱼，号称""长江三鲜""之首。鳞下脂肪丰厚，清蒸不刮鳞是最高吃法。"
67,刀鲚,Coilia nasus,洄游鱼,鳀科 Engraulidae,6,10.0,35.0,0.01,0.25,中上层,白天,8;9;11;20,3,200,100,0.07,"体极侧扁如刀，长江三鲜之二。俗称""刀鱼""，清明前的刀鱼肉质最为肥美。细刺极多但鲜味无与伦比，价格一度炒到天价。"
68,暗纹东方鲀,Takifugu obscurus,洄游鱼,鲀科 Tetraodontidae,6,8.0,25.0,0.03,0.50,中下层,白天,1;7;8;18,3,200,100,0.08,"河豚的一种，遇危险膨胀成刺球。体内含致命毒素，需专业处理才能食用。长江三鲜之三，""拼死吃河豚""的极致美味。"
69,大西洋鲑,Salmo salar,洄游鱼,鲑科 Salmonidae,5,40.0,120.0,1.50,30.0,中上层,白天,8;9;11;13;19;20,9,250,130,0.06,即真正的三文鱼，出生在淡水河流，成年后入海，再溯河产卵。跳跃瀑布的能力惊人。野生大西洋鲑已是珍稀保护物种。
70,大鳞大麻哈鱼,Oncorhynchus tshawytscha,洄游鱼,鲑科 Salmonidae,7,50.0,140.0,3.00,45.0,中上层,白天,8;9;11;13;19;20,10,350,180,0.07,"太平洋鲑鱼之王，最大三文鱼品种。溯河时不进食全靠体内脂肪，但攻击性不减。钓大鳞大麻哈被称为""与雷霆搏斗""。"
71,银大麻哈鱼,Oncorhynchus kisutch,洄游鱼,鲑科 Salmonidae,6,30.0,80.0,1.00,8.00,中上层,白天,8;9;11;13;19;20,8,220,115,0.06,体型比大鳞小但爆发力更猛烈。中钩后疯狂跳跃翻滚，是最具观赏性的搏鱼对象。肉质紧实呈橙红色。
72,红大麻哈鱼,Oncorhynchus nerka,洄游鱼,鲑科 Salmonidae,5,25.0,70.0,0.80,5.00,中上层,白天,8;9;11;13;19;20,7,180,95,0.05,繁殖期通体变红头变绿，极为壮观。洄游距离可达1600公里，一路不进食。肉质在鲑鱼中最红，营养价值最高。
73,香鱼,Plecoglossus altivelis,洄游鱼,香鱼科 Plecoglossidae,4,10.0,30.0,0.02,0.30,中上层,白天,3;4;5;8;19,4,70,38,0.05,"体有黄瓜清香的溪流精灵。春季入海秋季溯河的年度洄游鱼。用活香鱼钓香鱼的特殊钓法""友钓""是日本传统文化。"
74,黄鳝,Monopterus albus,淡水鱼,合鳃鱼科 Synbranchidae,2,20.0,60.0,0.03,0.80,底层,夜间,1;2;3;7;10,3,30,15,0.03,体圆长如蛇无胸鳍腹鳍。能直接呼吸空气，雌雄同体先雌后雄。稻田湿地最常见，也是南方人餐桌上的美味。
75,月鳢,Channa asiatica,淡水鱼,鳢科 Channidae,3,15.0,40.0,0.05,1.20,中下层,夜间,5;7;9;14;16;34,5,45,25,0.04,"俗称""七星鱼""，体侧有7-8条黑色横纹和尾柄圆斑。分布于华南溪流，肉质细嫩。昼伏夜出，是夜钓的惊喜之鱼。"
76,斑鳢,Channa maculata,淡水鱼,鳢科 Channidae,3,20.0,60.0,0.15,4.00,中下层,白天,5;7;9;14;16;34,6,55,30,0.04,"体侧有黑色斑块呈不规则分布。南方常见鳢鱼，俗称""生鱼""。粤菜中的经典煲汤食材，也是优秀的游钓鱼种。"
77,鲈鱼,Lateolabrax japonicus,海水鱼,真鲈科 Percichthyidae,3,20.0,80.0,0.15,7.00,中上层,晨昏,8;9;11;13;14;16;17,7,60,32,0.04,"即海鲈，体延长银白背部青灰。近海常见掠食鱼，广盐性可入河口。冬季最肥美，江南有""冬鲫夏鲈""之说。路亚入门首选。"
78,赤鲈,Perca fluviatilis,淡水鱼,鲈科 Percidae,2,10.0,35.0,0.03,1.00,中下层,白天,1;3;7;8;9;11;13,3,22,12,0.02,即前述河鲈的别名，体侧有5-7条黑色横纹。欧亚大陆广布，群居掠食。冰钓时最为活跃，一串串从冰洞拉出。
79,鳡鱼,Elopichthys bambusa,淡水鱼,鲤科 Cyprinidae,6,40.0,160.0,1.50,50.0,中上层,白天,9;11;13;14;15;34,9,280,150,0.07,"体延长梭形如鱼雷，鳡字意为""水老虎""。长江流域最凶猛淡水掠食鱼，连黑鱼都不敢惹它。追小鱼时速可达60km/h，中钩后冲刺势不可挡。"
80,哲罗鱼,Hucho taimen,淡水鱼,鲑科 Salmonidae,8,40.0,180.0,2.00,60.0,中上层,白天,9;11;13;14;15;34,10,500,260,0.09,"世界最大鲑科鱼，黑龙江流域的河中巨怪。能吞下野鸭和水鼠。蒙古和西伯利亚传说级路亚目标，""河中之虎""。"
81,细鳞鲑,Brachymystax lenok,淡水鱼,鲑科 Salmonidae,5,15.0,45.0,0.06,1.50,中层,白天,9;11;13;16;19,5,90,48,0.06,体侧有细密斑点，高山冷水溪流原住民。中国东北和西北高海拔河流有分布。对水质水温极度敏感，是生态指示物种。
82,秦岭细鳞鲑,Brachymystax tsinlingensis,淡水鱼,鲑科 Salmonidae,7,12.0,35.0,0.03,0.80,中层,白天,9;11;13;16;19,5,180,95,0.07,秦岭特有亚种，国家二级保护动物。生活在海拔1000米以上的冰冷山溪。体侧斑点比普通细鳞鲑更密集，珍稀程度极高。
83,花鳗鲡,Anguilla marmorata,洄游鱼,鳗鲡科 Anguillidae,6,30.0,120.0,0.30,10.0,底层,夜间,2;7;9;10;34,7,200,105,0.06,"体型最大的鳗鲡，体有黄黑斑纹。俗称""鳝王""，可长到2米。太平洋和印度洋热带岛屿溪流上游有分布，极度稀有。"
84,鳙鱼（泰国巨鲤）,Catlocarpio siamensis,淡水鱼,鲤科 Cyprinidae,9,40.0,250.0,2.00,200.0,底层,白天,2;4;10;23;26;27;34,8,600,350,0.10,现存最大鲤科鱼，湄公河流域的河中巨兽。体灰黑鳞片极大，最大纪录超300kg。极度濒危，是淡水钓的圣杯级目标。
85,湄公河巨鲶,Pangasianodon gigas,淡水鱼,巨鲶科 Pangasiidae,10,50.0,300.0,5.00,350.0,底层,夜间,2;7;9;34;35,10,1200,700,0.12,世界最大淡水鱼有力竞争者，最大纪录2.7米293kg。泰国湄公河传说级巨物。如今极度濒危，能在游戏里钓获也算圆梦。
86,尼罗河鲈鱼,Lates niloticus,淡水鱼,尖吻鲈科 Latidae,7,40.0,180.0,2.00,100.0,中上层,晨昏,7;8;9;11;13;14;34,9,350,185,0.08,非洲尼罗河和维多利亚湖的巨型掠食鱼。引入维多利亚湖后导致数百种原生鱼灭绝。巨型个体可达2米200kg，是淡水巨物爱好者天堂。
87,巨骨舌鱼,Arapaima gigas,淡水鱼,骨舌鱼科 Osteoglossidae,9,80.0,300.0,10.0,200.0,中上层,白天,7;9;14;34;35,10,800,450,0.12,亚马逊河最大淡水鱼，需浮出水面呼吸空气。鳞片坚硬如铠甲，连食人鱼都咬不动。体红如火焰，是世界上最大的淡水有鳞鱼。
88,金龙鱼,Scleropages formosus,淡水鱼,骨舌鱼科 Osteoglossidae,8,20.0,70.0,0.20,5.00,中层,白天,4;5;8;9;16;34,5,500,260,0.10,传说中的风水鱼，亚洲龙鱼。东南亚原产，野生种群极度濒危。体披金色大鳞游姿如龙，是观赏鱼界的劳斯莱斯。
