MapFishId,MapId,FishId,SpawnWeight,BestTime,BestSeason,BestWeather,MinDepth_m,MaxDepth_m
150,4,46,2006,8-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
151,6,46,2005,8-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
152,3,47,2009,8-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
153,15,47,2006,8-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
154,14,47,2004,8-17,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
155,1,48,754,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
156,6,48,753,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
157,5,49,334,5-7;17-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
158,6,49,334,5-7;17-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
159,2,49,334,5-7;17-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
160,6,50,1340,6-10;15-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy;Rainy,,
161,3,50,1338,6-10;15-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy;Rainy,,
162,4,50,1338,6-10;15-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy;Rainy,,
163,15,51,287,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
164,4,51,287,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
165,5,51,286,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
166,1,52,134,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
167,14,52,134,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
168,4,53,335,0-24,Spring;Summer,Sunny;Cloudy;Rainy,,
169,6,53,334,0-24,Spring;Summer,Sunny;Cloudy;Rainy,,
170,1,53,334,0-24,Spring;Summer,Sunny;Cloudy;Rainy,,
171,14,54,754,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
172,6,54,751,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
173,15,54,750,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
174,1,55,334,5-8;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
175,2,55,333,5-8;16-20,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
176,5,56,603,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
177,6,56,602,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
178,3,56,602,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
179,2,57,287,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
180,1,58,754,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
181,3,58,753,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
182,1,59,60,5-9;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
183,5,60,151,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
184,4,60,150,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
185,15,61,150,5-9;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
186,2,62,287,5-9;16-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy;Rainy,,
187,6,62,287,5-9;16-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy;Rainy,,
188,15,62,286,5-9;16-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy;Rainy,,
189,6,63,55,5-9;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
190,5,64,602,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
191,9,64,602,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
192,4,64,601,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
193,4,65,333,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
194,9,65,333,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
195,5,65,333,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
196,5,66,151,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
197,7,66,150,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
198,7,67,287,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
199,4,67,286,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
200,9,67,285,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
201,5,68,286,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
202,4,69,335,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
203,7,70,150,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
204,9,70,150,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
205,5,71,287,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
206,5,72,334,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
207,4,72,334,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
208,9,73,602,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
209,5,73,601,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
210,7,73,600,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
211,2,74,1336,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
212,15,74,1335,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
213,5,74,1335,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
214,1,74,1332,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
215,6,74,1332,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
216,4,75,753,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
217,3,75,752,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
218,5,75,751,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
219,4,76,754,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
220,5,76,753,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
221,15,76,752,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
222,10,77,750,6-10;16-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy,,
223,9,77,748,6-10;16-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy,,
224,3,48,1339,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
225,2,48,1338,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
226,6,48,1337,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
227,4,48,1337,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
228,15,48,1337,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
229,14,78,287,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy,,
230,6,78,286,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy,,
231,1,78,286,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy,,
232,4,79,134,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
233,6,79,134,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
234,1,80,335,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
235,15,80,334,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
236,2,80,334,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
237,6,81,150,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
238,14,81,150,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
239,5,82,287,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
240,9,82,287,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
241,4,82,286,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
242,2,83,60,8-16,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
243,4,84,55,19-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
244,3,85,151,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
245,4,85,151,6-10;15-19,Spring;Summer;Autumn,Sunny;Cloudy,,
246,1,86,60,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
247,1,87,134,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
248,14,87,134,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
249,14,88,600,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy,,
250,4,88,600,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy,,
251,2,88,599,7-11;15-18,Spring;Summer;Autumn,Sunny;Cloudy,,
252,2,89,151,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
253,6,90,334,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
254,3,90,334,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
255,3,91,134,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
256,5,91,134,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
257,5,92,335,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
258,15,92,334,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
259,15,93,287,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
260,1,93,287,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
261,5,94,286,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
262,7,94,286,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
263,9,94,285,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
264,10,95,603,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
265,9,95,597,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
266,11,95,422,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
267,8,95,421,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
268,9,96,749,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
269,10,96,748,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
270,8,96,528,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
271,7,96,527,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
272,9,97,602,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
273,10,97,598,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
274,7,97,421,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
275,11,97,420,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
276,10,98,753,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
277,9,98,751,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
278,8,98,528,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
279,12,98,527,6-10;15-18,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
280,9,99,333,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
281,9,100,134,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
282,10,100,133,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
283,9,101,150,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
284,9,102,150,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
285,10,102,150,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
286,9,103,335,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
287,10,103,334,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
288,12,103,267,5-8;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
289,9,104,335,5-8;16-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy;Rainy,,
290,10,104,332,5-8;16-19,Spring;Summer;Autumn;Winter,Sunny;Cloudy;Rainy,,
291,10,105,286,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
292,9,105,285,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
293,10,106,751,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
294,9,106,747,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
295,8,106,527,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
296,9,107,1338,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
297,10,107,1330,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
298,8,107,938,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
299,7,107,936,18-5,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
300,9,108,751,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
301,10,108,750,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
302,11,108,600,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
303,8,108,528,7-11;14-17,Spring;Summer;Autumn,Sunny;Cloudy,,
304,10,109,754,6-17,Spring;Summer;Autumn,Sunny;Cloudy,,
305,9,109,749,6-17,Spring;Summer;Autumn,Sunny;Cloudy,,
306,11,109,599,6-17,Spring;Summer;Autumn,Sunny;Cloudy,,
307,8,109,529,6-17,Spring;Summer;Autumn,Sunny;Cloudy,,
308,10,110,750,5-9;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
309,9,110,747,5-9;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
310,12,110,600,5-9;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
311,11,110,524,5-9;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
312,9,111,1338,5-9;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
313,10,111,1335,5-9;16-19,Spring;Summer;Autumn,Sunny;Cloudy;Rainy,,
